iter	Passed	Remaining
0	32	32935
1	75	37694
2	134	44814
3	186	46427
4	231	46121
5	272	45127
6	310	44026
7	348	43253
8	391	43148
9	440	43576
10	478	42995
11	517	42588
12	556	42285
13	594	41866
14	630	41384
15	673	41445
16	713	41269
17	753	41096
18	797	41189
19	855	41915
20	905	42204
21	955	42477
22	1006	42775
23	1051	42744
24	1088	42444
25	1126	42192
26	1163	41918
27	1209	41992
28	1250	41873
29	1288	41675
30	1328	41516
31	1357	41074
32	1401	41071
33	1447	41124
34	1492	41144
35	1536	41146
36	1577	41056
37	1616	40932
38	1654	40764
39	1697	40737
40	1736	40620
41	1780	40603
42	1814	40378
43	1854	40293
44	1896	40251
45	1934	40117
46	1972	40001
47	2010	39884
48	2045	39700
49	2083	39587
50	2123	39521
51	2168	39537
52	2211	39507
53	2250	39428
54	2295	39433
55	2333	39336
56	2373	39265
57	2416	39252
58	2451	39099
59	2487	38977
60	2524	38855
61	2558	38712
62	2601	38693
63	2642	38652
64	2680	38555
65	2718	38469
66	2759	38421
67	2800	38389
68	2840	38324
69	2883	38312
70	2922	38243
71	2964	38205
72	3004	38147
73	3042	38069
74	3077	37960
75	3117	37899
76	3159	37875
77	3197	37797
78	3237	37746
79	3277	37693
80	3316	37628
81	3356	37573
82	3396	37525
83	3437	37485
84	3474	37402
85	3512	37334
86	3551	37265
87	3595	37259
88	3633	37195
89	3672	37133
90	3708	37047
91	3744	36960
92	3789	36961
93	3831	36926
94	3869	36863
95	3911	36832
96	3951	36784
97	3991	36733
98	4028	36666
99	4074	36666
100	4114	36624
101	4156	36589
102	4197	36550
103	4242	36553
104	4282	36503
105	4319	36427
106	4359	36386
107	4399	36334
108	4439	36288
109	4477	36224
110	4515	36165
111	4563	36184
112	4604	36140
113	4644	36097
114	4685	36055
115	4727	36025
116	4770	35999
117	4807	35933
118	4846	35881
119	4886	35837
120	4922	35759
121	4964	35726
122	5002	35668
123	5039	35602
124	5075	35530
125	5115	35482
126	5155	35441
127	5201	35432
128	5240	35380
129	5277	35321
130	5317	35276
131	5356	35225
132	5394	35165
133	5431	35102
134	5468	35037
135	5506	34982
136	5544	34926
137	5582	34867
138	5620	34817
139	5657	34755
140	5698	34714
141	5731	34634
142	5768	34573
143	5803	34499
144	5841	34441
145	5881	34401
146	5917	34339
147	5960	34310
148	5997	34254
149	6035	34198
150	6071	34136
151	6114	34109
152	6153	34063
153	6190	34006
154	6226	33944
155	6259	33864
156	6295	33801
157	6332	33745
158	6368	33686
159	6406	33632
160	6442	33575
161	6477	33507
162	6513	33444
163	6550	33389
164	6586	33330
165	6624	33282
166	6661	33225
167	6700	33182
168	6738	33133
169	6773	33069
170	6806	32997
171	6843	32943
172	6879	32885
173	6914	32824
174	6951	32771
175	6988	32719
176	7026	32671
177	7063	32618
178	7103	32580
179	7143	32542
180	7177	32479
181	7215	32430
182	7253	32382
183	7289	32325
184	7323	32262
185	7357	32197
186	7396	32156
187	7429	32088
188	7463	32024
189	7497	31961
190	7534	31911
191	7573	31872
192	7614	31837
193	7652	31792
194	7689	31743
195	7727	31698
196	7766	31657
197	7802	31603
198	7838	31551
199	7880	31520
200	7919	31480
201	7954	31424
202	7990	31373
203	8027	31322
204	8063	31271
205	8098	31213
206	8136	31168
207	8173	31123
208	8208	31068
209	8248	31028
210	8286	30987
211	8324	30940
212	8362	30898
213	8400	30852
214	8436	30802
215	8474	30757
216	8508	30701
217	8548	30665
218	8586	30620
219	8629	30594
220	8667	30552
221	8708	30519
222	8746	30475
223	8781	30422
224	8816	30366
225	8853	30322
226	8892	30280
227	8930	30239
228	8970	30201
229	9008	30157
230	9042	30104
231	9078	30052
232	9117	30014
233	9152	29959
234	9189	29913
235	9225	29866
236	9261	29817
237	9298	29771
238	9336	29729
239	9379	29701
240	9418	29663
241	9458	29627
242	9501	29598
243	9539	29557
244	9578	29518
245	9623	29495
246	9661	29454
247	9700	29414
248	9739	29374
249	9776	29328
250	9813	29282
251	9853	29248
252	9891	29205
253	9928	29160
254	9966	29116
255	10004	29074
256	10041	29029
257	10079	28988
258	10117	28945
259	10154	28900
260	10195	28867
261	10233	28825
262	10270	28779
263	10310	28745
264	10351	28710
265	10401	28702
266	10449	28688
267	10493	28661
268	10545	28656
269	10589	28631
270	10643	28632
271	10699	28637
272	10774	28691
273	10827	28687
274	10906	28752
275	10976	28792
276	11028	28784
277	11098	28824
278	11174	28878
279	11233	28885
280	11292	28893
281	11361	28928
282	11425	28948
283	11475	28931
284	11545	28965
285	11601	28963
286	11653	28951
287	11729	28998
288	11778	28976
289	11838	28984
290	11899	28992
291	11963	29007
292	12029	29027
293	12092	29038
294	12155	29049
295	12209	29038
296	12259	29017
297	12307	28992
298	12357	28970
299	12401	28937
300	12455	28925
301	12505	28903
302	12546	28862
303	12593	28831
304	12633	28788
305	12681	28760
306	12733	28743
307	12779	28712
308	12826	28682
309	12866	28639
310	12905	28591
311	12945	28545
312	12983	28496
313	13020	28446
314	13060	28400
315	13102	28360
316	13138	28306
317	13178	28262
318	13215	28213
319	13259	28175
320	13300	28134
321	13341	28092
322	13379	28044
323	13418	27996
324	13456	27948
325	13500	27911
326	13543	27873
327	13582	27828
328	13618	27774
329	13656	27726
330	13701	27692
331	13739	27645
332	13777	27596
333	13812	27542
334	13849	27491
335	13890	27449
336	13924	27394
337	13962	27347
338	14001	27301
339	14038	27251
340	14076	27203
341	14111	27150
342	14148	27100
343	14186	27053
344	14223	27004
345	14259	26952
346	14299	26908
347	14334	26856
348	14378	26819
349	14419	26779
350	14458	26733
351	14501	26695
352	14542	26654
353	14588	26621
354	14625	26572
355	14662	26524
356	14705	26486
357	14743	26440
358	14781	26392
359	14833	26370
360	14876	26332
361	14914	26285
362	14949	26233
363	14984	26181
364	15021	26132
365	15058	26084
366	15101	26047
367	15139	26000
368	15177	25954
369	15213	25903
370	15249	25853
371	15286	25806
372	15323	25758
373	15359	25708
374	15394	25657
375	15429	25606
376	15467	25560
377	15507	25518
378	15543	25467
379	15580	25420
380	15616	25371
381	15653	25323
382	15691	25277
383	15724	25224
384	15757	25171
385	15792	25121
386	15827	25069
387	15861	25018
388	15898	24970
389	15932	24919
390	15967	24870
391	16002	24820
392	16035	24767
393	16072	24720
