iter	Logloss
0	0.6791002103
1	0.6675845302
2	0.6576737751
3	0.6496499984
4	0.6429000906
5	0.6370201813
6	0.6321083266
7	0.6281321971
8	0.6239706972
9	0.6206657398
10	0.6179114777
11	0.6152614387
12	0.6132508885
13	0.6113588319
14	0.6092963473
15	0.6075465889
16	0.6060358898
17	0.6047168528
18	0.6035253023
19	0.6026802124
20	0.6016645012
21	0.600858535
22	0.5999650275
23	0.5991626981
24	0.5983571534
25	0.5977025785
26	0.5969360358
27	0.5960889817
28	0.5954400521
29	0.5948926867
30	0.5943163518
31	0.5937038127
32	0.5932146956
33	0.5928214964
34	0.5923115212
35	0.5917822403
36	0.5913387818
37	0.5909921111
38	0.5906005106
39	0.5901756313
40	0.5898016243
41	0.5894841688
42	0.5891867624
43	0.5889058627
44	0.5885351995
45	0.5882310846
46	0.5879455999
47	0.5876175021
48	0.5873230133
49	0.5870279123
50	0.586799803
51	0.5865544972
52	0.5862953326
53	0.586068737
54	0.5858910256
55	0.5856806384
56	0.585472612
57	0.5852472147
58	0.5850830228
59	0.5849108881
60	0.5847103964
61	0.5845326905
62	0.5843547445
63	0.5842090619
64	0.5840406031
65	0.5838769698
66	0.5837072244
67	0.5835392896
68	0.583445841
69	0.5832618074
70	0.5831194812
71	0.5829581523
72	0.5827531239
73	0.5825591295
74	0.5824502006
75	0.5822999891
76	0.58216515
77	0.582030599
78	0.5819120813
79	0.5817853433
80	0.5816817474
81	0.5816001376
82	0.5814917937
83	0.5813391136
84	0.5812345707
85	0.5811539977
86	0.5810134643
87	0.5809037492
88	0.5807948157
89	0.5806915791
90	0.5806296266
91	0.5805213689
92	0.5804260728
93	0.5802957888
94	0.5802050528
95	0.5800865412
96	0.5800071277
97	0.5799188879
98	0.5798266065
99	0.5797247492
100	0.5796074988
101	0.5795224633
102	0.5794266535
103	0.5793446992
104	0.5791998956
105	0.5790402748
106	0.578942427
107	0.5788449279
108	0.5787373752
109	0.5786372478
110	0.5785459605
111	0.5784608971
112	0.5783736067
113	0.5782730962
114	0.5781563702
115	0.57805752
116	0.5780148472
117	0.5778567236
118	0.5777264026
119	0.5776405869
120	0.5775193214
121	0.577441512
122	0.5773534772
123	0.5772637375
124	0.5771015787
125	0.5769776495
126	0.576878205
127	0.5767353019
128	0.5766256459
129	0.5765177279
130	0.5764239941
131	0.5762981859
132	0.5762108824
133	0.576076304
134	0.5759535324
135	0.5758519939
136	0.5757639142
137	0.575665646
138	0.5755505174
139	0.5754609907
140	0.5753721229
141	0.5752496652
142	0.5751493276
143	0.5750463288
144	0.5749141104
145	0.5747753651
146	0.5746333245
147	0.5744850778
148	0.5743814093
149	0.5742709749
150	0.5741179246
151	0.5740219554
152	0.5738798673
153	0.5737332912
154	0.5736242348
155	0.5735054227
156	0.5734026331
157	0.5732813461
158	0.5731639108
159	0.5730520562
160	0.5729432619
161	0.5728309076
162	0.5727088895
163	0.5725598677
164	0.5724539677
165	0.5723519375
166	0.5721913761
167	0.5720345472
168	0.5719239848
169	0.5718284271
170	0.5717104807
171	0.571597407
172	0.5714981691
173	0.5713753512
174	0.5712512043
175	0.5711188642
176	0.5710025473
177	0.570873303
178	0.5707562441
179	0.5706526591
180	0.5705376431
181	0.5704289573
182	0.5703126122
183	0.5702080492
184	0.5700934608
185	0.569946447
186	0.569827567
187	0.5697028032
188	0.5696062343
189	0.5694662757
190	0.5693617802
191	0.5692400297
192	0.5691300625
193	0.5689750489
194	0.5688774969
195	0.5687834075
196	0.5686366839
197	0.5685240748
198	0.5684291304
199	0.5683284951
200	0.5681813125
201	0.5680724076
202	0.5679826296
203	0.5678531841
204	0.5677768755
205	0.5676277964
206	0.5674947555
207	0.5674056167
208	0.5672913133
209	0.5671964785
210	0.5670791818
211	0.5669750543
212	0.5668806125
213	0.5667719901
214	0.566699015
215	0.56657853
216	0.5664808185
217	0.5663484092
218	0.5662236717
219	0.5661029904
220	0.5659944101
221	0.5658632724
222	0.5657421302
223	0.5656365409
224	0.5655409909
225	0.5654596715
226	0.5653513335
227	0.5652593788
228	0.5651582024
229	0.5650541008
230	0.5649275625
231	0.564823045
232	0.5647132182
233	0.5646267965
234	0.5645101109
235	0.5644364148
236	0.5643399911
237	0.5642191677
238	0.5641105682
239	0.563986316
240	0.5638505527
241	0.563740672
242	0.5636340115
243	0.5635337171
244	0.5634326825
245	0.563329756
246	0.5632188244
