iter	Logloss
0	0.6637355003
1	0.6449235938
2	0.6325001595
3	0.6155183378
4	0.602700421
5	0.5934160649
6	0.5805160972
7	0.5648168632
8	0.5587570329
9	0.5477766057
10	0.5372436695
11	0.5300739637
12	0.5270732668
13	0.5231536751
14	0.5200576697
15	0.5138811472
16	0.5118146262
17	0.5085058917
18	0.5053435142
19	0.5030163089
20	0.4998822994
21	0.4979783277
22	0.4968806352
23	0.4954168591
24	0.4944924109
25	0.4928427307
26	0.4908851988
27	0.4889012869
28	0.4877119557
29	0.4867228579
30	0.4853697938
31	0.484635573
32	0.4835879928
33	0.483233532
34	0.4826468482
35	0.482397707
36	0.4822150747
37	0.481468743
38	0.4805478623
39	0.4796765808
40	0.4795181086
41	0.4789183765
42	0.4787956253
43	0.4786651432
44	0.4784445997
45	0.4783222949
46	0.4778716101
47	0.4777549186
48	0.4776517857
49	0.4775676227
50	0.4774794706
51	0.4773701449
52	0.4772611258
53	0.4767293761
54	0.4766813138
55	0.4764958186
56	0.4764028995
57	0.4763272461
58	0.4762459715
59	0.4761239603
60	0.4751974068
61	0.4748370679
62	0.4747505144
63	0.4746511031
64	0.4745847681
65	0.4745345168
66	0.4744720036
67	0.4744001575
68	0.4743079973
69	0.4742485948
70	0.4741840833
71	0.474114643
72	0.4740367738
73	0.473980349
74	0.4733983868
75	0.4733585515
76	0.4729907752
77	0.4729084086
78	0.4728329281
79	0.472779404
80	0.4727160185
81	0.4726544974
82	0.4726218512
83	0.4723469778
84	0.472305574
85	0.4722470162
86	0.4721735775
87	0.4721054892
88	0.4720564424
89	0.4712281762
90	0.4711845539
91	0.4711149165
92	0.4710365632
93	0.4709652974
94	0.4708946314
95	0.4708283207
96	0.4707589188
97	0.4706825388
98	0.4706164385
99	0.470537258
100	0.4704786657
101	0.4699002214
102	0.4698694767
103	0.4698300666
104	0.4697610616
105	0.469698018
106	0.469629298
107	0.469594199
108	0.4695540218
109	0.4694912187
110	0.4693267845
111	0.4692868289
112	0.4692629514
113	0.4692155411
114	0.4687993805
115	0.4687543509
116	0.4686798756
117	0.468618614
118	0.4685777061
