iter	Passed	Remaining
0	161	161505
1	176	87871
2	190	63210
3	204	50813
4	220	43965
5	238	39577
6	257	36530
7	275	34191
8	296	32700
9	314	31146
10	338	30448
11	357	29441
12	374	28463
13	393	27705
14	406	26673
15	424	26078
16	442	25562
17	460	25100
18	476	24612
19	494	24235
20	510	23785
21	526	23405
22	543	23090
23	558	22728
24	574	22397
25	589	22068
26	603	21759
27	621	21583
28	636	21297
29	651	21075
30	668	20897
31	687	20797
32	702	20586
33	715	20334
34	730	20135
35	745	19965
36	758	19737
37	773	19569
38	785	19363
39	802	19255
40	820	19181
41	845	19295
42	867	19314
43	887	19290
44	905	19209
45	924	19171
46	942	19110
47	965	19150
48	987	19161
49	1008	19153
50	1024	19064
51	1039	18957
52	1057	18893
53	1076	18857
54	1091	18752
55	1107	18676
56	1125	18617
57	1142	18551
58	1157	18454
59	1171	18357
60	1186	18259
61	1203	18206
62	1218	18125
63	1241	18153
64	1263	18173
65	1283	18164
66	1306	18194
67	1324	18150
68	1341	18094
69	1359	18061
70	1382	18089
71	1401	18062
72	1424	18083
73	1447	18108
74	1469	18129
75	1489	18111
76	1509	18092
77	1526	18040
78	1544	18011
79	1567	18025
80	1589	18037
81	1622	18164
82	1639	18108
83	1656	18066
84	1673	18017
85	1692	17983
86	1712	17967
87	1736	17993
88	1761	18031
89	1779	17994
90	1799	17970
91	1816	17929
92	1841	17956
93	1862	17946
94	1885	17958
95	1910	17989
96	1937	18036
97	1959	18037
98	1980	18023
99	2000	18005
100	2022	18006
101	2043	17986
102	2064	17983
103	2088	17994
104	2116	18036
105	2139	18042
106	2159	18019
107	2181	18013
108	2201	17992
109	2219	17961
110	2240	17941
111	2263	17942
112	2287	17953
113	2306	17926
114	2328	17918
115	2352	17924
116	2371	17894
117	2387	17842
118	2403	17797
119	2424	17780
120	2441	17737
121	2458	17690
122	2475	17647
123	2493	17613
124	2511	17579
125	2531	17561
126	2550	17533
127	2571	17517
128	2589	17486
129	2611	17480
130	2631	17453
131	2649	17420
132	2666	17384
133	2683	17345
134	2698	17288
135	2718	17267
136	2735	17234
137	2751	17189
138	2765	17132
139	2781	17085
140	2797	17045
141	2813	16999
142	2829	16956
143	2846	16919
144	2864	16888
145	2879	16845
146	2895	16803
147	2913	16770
148	2930	16736
149	2948	16706
150	2966	16679
151	2985	16656
152	3003	16627
153	3018	16583
154	3033	16538
155	3049	16496
156	3064	16454
157	3079	16408
158	3094	16368
159	3111	16335
160	3130	16312
161	3147	16281
162	3163	16243
163	3178	16203
164	3194	16165
165	3212	16137
166	3230	16114
167	3248	16085
168	3265	16056
169	3284	16034
170	3301	16004
171	3317	15969
172	3336	15949
173	3352	15915
174	3369	15886
175	3384	15844
176	3398	15804
177	3413	15763
178	3429	15727
179	3445	15698
180	3463	15673
181	3481	15646
182	3495	15606
183	3510	15566
184	3524	15526
185	3539	15491
186	3554	15453
187	3570	15419
188	3585	15385
189	3600	15348
190	3614	15308
191	3629	15272
192	3642	15230
193	3657	15194
194	3671	15155
195	3685	15117
196	3701	15087
197	3718	15061
198	3732	15025
199	3747	14988
200	3760	14950
201	3774	14912
202	3789	14876
203	3803	14843
204	3820	14816
205	3835	14783
206	3852	14758
207	3869	14732
208	3883	14699
209	3897	14662
210	3911	14627
211	3926	14595
212	3941	14562
213	3955	14529
214	3970	14496
215	3985	14464
216	3999	14430
217	4015	14404
218	4031	14376
219	4048	14352
220	4061	14316
221	4075	14282
222	4089	14247
223	4103	14215
224	4117	14182
225	4131	14150
226	4150	14134
227	4166	14105
228	4180	14074
229	4194	14041
230	4209	14015
231	4226	13992
232	4241	13961
233	4255	13930
234	4270	13900
235	4284	13869
236	4300	13845
237	4315	13818
238	4330	13789
239	4347	13765
240	4365	13749
241	4382	13727
242	4398	13702
243	4413	13674
244	4428	13645
245	4446	13630
246	4463	13606
247	4478	13580
248	4494	13555
249	4509	13527
250	4538	13544
251	4555	13521
252	4574	13506
253	4591	13484
254	4606	13458
255	4620	13429
256	4635	13401
257	4649	13372
258	4666	13351
259	4683	13330
260	4704	13321
261	4722	13303
262	4738	13278
263	4752	13250
264	4769	13229
265	4784	13201
266	4801	13181
267	4821	13169
268	4841	13156
269	4859	13139
270	4877	13121
271	4896	13105
272	4915	13089
273	4937	13081
274	4960	13078
275	4979	13061
276	4994	13036
277	5009	13011
278	5025	12987
279	5041	12964
280	5058	12943
281	5076	12925
282	5098	12918
283	5115	12897
284	5132	12877
285	5151	12860
286	5167	12837
287	5184	12816
288	5200	12793
289	5214	12767
290	5229	12740
291	5247	12722
