iter	Passed	Remaining
0	26	7995
1	53	8020
2	84	8322
3	109	8096
4	133	7865
5	156	7685
6	178	7475
7	201	7348
8	223	7236
9	246	7141
10	264	6952
11	287	6892
12	312	6897
13	332	6783
14	350	6657
15	373	6629
16	392	6528
17	417	6534
18	448	6636
19	467	6539
20	486	6464
21	509	6433
22	542	6539
23	561	6452
24	588	6470
25	607	6400
26	623	6304
27	641	6230
28	662	6190
29	681	6131
30	700	6081
31	714	5986
32	732	5929
33	758	5936
34	775	5873
35	795	5835
36	815	5798
37	834	5751
38	851	5701
39	870	5655
40	887	5606
41	905	5563
42	928	5547
43	948	5516
44	966	5478
45	984	5438
46	1004	5404
47	1022	5366
48	1041	5333
49	1059	5295
50	1069	5222
51	1089	5196
52	1109	5172
53	1127	5138
54	1145	5103
55	1157	5042
56	1174	5009
57	1192	4974
58	1213	4955
59	1231	4924
60	1255	4919
61	1273	4890
62	1294	4871
63	1316	4854
64	1338	4840
65	1362	4831
66	1384	4815
67	1407	4801
68	1429	4785
69	1448	4759
70	1468	4736
71	1488	4714
72	1510	4698
73	1537	4695
74	1555	4666
75	1572	4635
76	1591	4608
77	1610	4584
78	1627	4553
79	1646	4529
80	1675	4529
81	1693	4502
82	1711	4475
83	1729	4446
84	1748	4421
85	1767	4398
86	1786	4374
87	1805	4348
88	1821	4319
89	1839	4291
90	1861	4274
91	1878	4247
92	1896	4221
93	1915	4197
94	1934	4174
95	1952	4149
96	1970	4123
97	1988	4098
98	2006	4072
99	2023	4047
100	2042	4023
101	2062	4003
102	2081	3981
103	2100	3958
104	2118	3934
105	2135	3909
106	2156	3889
107	2173	3864
108	2190	3838
109	2209	3815
110	2227	3792
111	2245	3768
112	2263	3745
113	2298	3750
114	2317	3727
115	2336	3705
116	2354	3683
117	2373	3660
118	2391	3637
119	2411	3616
120	2428	3592
121	2446	3570
122	2463	3545
123	2482	3523
124	2500	3501
125	2517	3477
126	2535	3453
127	2552	3430
128	2570	3407
129	2588	3384
130	2606	3363
131	2627	3344
132	2646	3322
133	2664	3300
134	2683	3280
135	2702	3258
136	2731	3249
137	2749	3227
138	2768	3206
139	2787	3186
140	2804	3162
141	2822	3140
142	2840	3118
143	2864	3103
144	2884	3083
145	2916	3076
146	2936	3056
147	2957	3037
148	2977	3017
149	2996	2996
150	3014	2975
151	3035	2955
152	3055	2935
153	3074	2915
154	3116	2914
155	3148	2905
156	3163	2881
157	3181	2859
158	3200	2837
159	3219	2816
160	3238	2796
161	3257	2774
162	3274	2752
163	3293	2730
164	3319	2715
165	3338	2694
166	3356	2673
167	3374	2651
168	3393	2630
169	3412	2609
170	3431	2588
171	3448	2566
172	3467	2545
173	3485	2524
174	3503	2502
175	3521	2481
176	3539	2459
177	3559	2439
178	3578	2419
179	3598	2398
180	3618	2379
181	3637	2358
182	3656	2337
183	3676	2317
184	3694	2296
185	3715	2277
186	3733	2256
187	3756	2237
188	3774	2216
189	3793	2196
190	3810	2174
191	3829	2154
192	3858	2138
193	3877	2118
194	3905	2102
195	3921	2081
196	3939	2059
197	3961	2040
198	3980	2020
199	4001	2000
200	4035	1987
201	4057	1968
202	4078	1948
203	4097	1928
204	4116	1907
205	4135	1887
206	4153	1866
207	4174	1846
208	4193	1825
209	4217	1807
210	4235	1786
211	4253	1765
212	4279	1748
213	4299	1727
214	4319	1707
215	4339	1687
216	4359	1667
217	4378	1646
218	4399	1627
219	4419	1607
220	4438	1586
221	4459	1566
222	4477	1546
223	4495	1525
224	4542	1514
225	4560	1493
226	4578	1472
227	4619	1458
228	4636	1437
229	4653	1416
230	4671	1395
231	4698	1377
232	4716	1356
233	4742	1337
234	4759	1316
235	4777	1295
236	4804	1277
237	4821	1256
238	4838	1234
239	4855	1213
240	4875	1193
241	4893	1172
242	4911	1151
243	4929	1131
244	4945	1110
245	4963	1089
246	4980	1068
247	4999	1048
248	5024	1029
249	5042	1008
250	5060	987
251	5079	967
252	5095	946
253	5113	926
254	5130	905
255	5149	885
256	5168	864
257	5187	844
258	5205	824
259	5223	803
260	5241	783
261	5259	762
262	5276	742
263	5308	723
264	5326	703
265	5345	683
266	5363	662
267	5383	642
268	5400	622
269	5417	601
270	5436	581
271	5453	561
272	5471	541
273	5489	520
274	5506	500
275	5555	483
276	5575	462
277	5618	444
278	5635	424
279	5652	403
280	5671	383
281	5688	363
282	5708	342
283	5727	322
284	5775	303
285	5797	283
286	5818	263
287	5841	243
288	5861	223
289	5881	202
290	5902	182
291	5923	162
292	5942	141
293	5963	121
294	5982	101
295	6002	81
296	6022	60
297	6041	40
298	6067	20
299	6085	0
